did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
8885351154,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351175,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351162,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351173,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351291,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351093,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351171,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350916,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350626,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350714,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350757,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350713,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350834,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350623,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351156,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351134,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350763,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351135,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885351256,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
8885350850,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
,,,,,,,,,
New,,,,,,,,,
08:48,,,,,,,,,
jatin tomar,,,,,,,,,
8773661020,,,,,,,,,
8773667940,,,,,,,,,
8773665751,,,,,,,,,
8773669508,,,,,,,,,
8773669501,,,,,,,,,
8773668704,,,,,,,,,
8773667955,,,,,,,,,
8773669503,,,,,,,,,
8773663173,,,,,,,,,
8773669571,,,,,,,,,
8773666671,,,,,,,,,
8773666021,,,,,,,,,
8773666285,,,,,,,,,
8773668719,,,,,,,,,
8773662549,,,,,,,,,
8773667606,,,,,,,,,
8773669509,,,,,,,,,
8773661868,,,,,,,,,
8773663705,,,,,,,,,
8773664938,,,,,,,,,
