did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18338691935,Inteliquent_Carrier,1,225,1,0,0,0,0,0
18338691971,Inteliquent_Carrier,2,226,2,1,1,1,1,1
18338692488,Inteliquent_Carrier,3,227,3,2,2,2,2,2
18338693172,Inteliquent_Carrier,4,228,4,3,3,3,3,3
18445632345,Inteliquent_Carrier,5,229,5,4,4,4,4,4
18445632471,Inteliquent_Carrier,6,230,6,5,5,5,5,5
18445632481,Inteliquent_Carrier,7,231,7,6,6,6,6,6
18445632528,Inteliquent_Carrier,8,232,8,7,7,7,7,7
18557141636,Inteliquent_Carrier,9,233,9,8,8,8,8,8
18557142472,Inteliquent_Carrier,10,234,10,9,9,9,9,9
18557143784,Inteliquent_Carrier,11,235,11,10,10,10,10,10
18557144090,Inteliquent_Carrier,12,236,12,11,11,11,11,11
18557144490,Inteliquent_Carrier,13,237,13,12,12,12,12,12
18557145080,Inteliquent_Carrier,14,238,14,13,13,13,13,13
18666460079,Inteliquent_Carrier,15,239,15,14,14,14,14,14
18666460413,Inteliquent_Carrier,16,240,16,15,15,15,15,15
18666461414,Inteliquent_Carrier,17,241,17,16,16,16,16,16
18666461881,Inteliquent_Carrier,18,242,18,17,17,17,17,17
18666463034,Inteliquent_Carrier,19,243,19,18,18,18,18,18
18778790683,Inteliquent_Carrier,20,244,20,19,19,19,19,19
18778791096,Inteliquent_Carrier,21,245,21,20,20,20,20,20
18778791127,Inteliquent_Carrier,22,246,22,21,21,21,21,21
18778793963,Inteliquent_Carrier,23,247,23,22,22,22,22,22
18884223904,Inteliquent_Carrier,24,248,24,23,23,23,23,23
18884225409,Inteliquent_Carrier,25,249,25,24,24,24,24,24
18884225411,Inteliquent_Carrier,26,250,26,25,25,25,25,25
