did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18888090177,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888090476,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888094436,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888094597,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888094916,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888095057,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888095231,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888095396,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888096564,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
18888097255,Inteliquent_Carrier,1,225,1,12,0.03,0,6,6
