did_ no.,inbound,did_group,country,activated,montly_ rate,connect_ charge,selling _rate,retail_ min_ duration,retail_ billing_ block
18888154632,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18888151759,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18888156045,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18667912915,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18449406974,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333634196,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333634591,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333634936,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333635091,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333634924,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18333634380,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18449407146,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18449406655,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18888153141,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18888154645,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
18888153867,Inteliquent_Carrier,1,225,1,12,0,0.03,6,6
